store_id,store_name,store_location,store_region,store_size,opening_date
West_071,West Store 71,"West Region, Store #71",West,Large,2020-12-17 03:41:44.830998
East_072,East Store 72,"East Region, Store #72",East,Medium,2021-09-14 03:41:44.831001
West_073,West Store 73,"West Region, Store #73",West,Small,2023-03-20 03:41:44.831004
South_074,South Store 74,"South Region, Store #74",South,Small,2022-09-16 03:41:44.831007
North_075,North Store 75,"North Region, Store #75",North,Large,2021-07-01 03:41:44.831010
South_076,South Store 76,"South Region, Store #76",South,Large,2023-05-15 03:41:44.831013
North_077,North Store 77,"North Region, Store #77",North,Small,2020-08-20 03:41:44.831018
North_078,North Store 78,"North Region, Store #78",North,Small,2024-03-23 03:41:44.831021
North_079,North Store 79,"North Region, Store #79",North,Medium,2024-03-16 03:41:44.831024
Central_080,Central Store 80,"Central Region, Store #80",Central,Small,2023-01-16 03:41:44.831027
West_081,West Store 81,"West Region, Store #81",West,Small,2021-07-31 03:41:44.831030
South_082,South Store 82,"South Region, Store #82",South,Large,2021-05-27 03:41:44.831033
Central_083,Central Store 83,"Central Region, Store #83",Central,Medium,2023-03-30 03:41:44.831037
West_084,West Store 84,"West Region, Store #84",West,Medium,2023-07-16 03:41:44.831040
North_085,North Store 85,"North Region, Store #85",North,Small,2020-11-28 03:41:44.831043
West_086,West Store 86,"West Region, Store #86",West,Medium,2022-03-25 03:41:44.831046
West_087,West Store 87,"West Region, Store #87",West,Medium,2024-04-20 03:41:44.831049
North_088,North Store 88,"North Region, Store #88",North,Small,2022-05-07 03:41:44.831053
East_089,East Store 89,"East Region, Store #89",East,Small,2023-03-18 03:41:44.831058
South_090,South Store 90,"South Region, Store #90",South,Small,2021-08-06 03:41:44.831061
West_091,West Store 91,"West Region, Store #91",West,Small,2022-03-28 03:41:44.831064
South_092,South Store 92,"South Region, Store #92",South,Medium,2022-01-04 03:41:44.831068
South_093,South Store 93,"South Region, Store #93",South,Small,2022-02-13 03:41:44.831073
Central_094,Central Store 94,"Central Region, Store #94",Central,Small,2024-04-27 03:41:44.831076
Central_095,Central Store 95,"Central Region, Store #95",Central,Small,2024-01-30 03:41:44.831079
South_096,South Store 96,"South Region, Store #96",South,Small,2022-04-29 03:41:44.831084
West_097,West Store 97,"West Region, Store #97",West,Medium,2023-05-29 03:41:44.831087
West_098,West Store 98,"West Region, Store #98",West,Small,2023-09-06 03:41:44.831090
West_099,West Store 99,"West Region, Store #99",West,Small,2022-06-01 03:41:44.831093
East_100,East Store 100,"East Region, Store #100",East,Medium,2023-01-02 03:41:44.831097
